date,daily,cumulative
9/16/2021,26163,7401562
9/15/2021,29436,7375399
9/14/2021,30738,7345963
9/13/2021,34041,7315225
9/12/2021,23634,7281184
9/11/2021,23179,7257550
9/10/2021,28685,7234371
9/9/2021,33419,7205686
9/8/2021,35225,7172267
9/7/2021,38002,7137042
9/6/2021,44107,7099040
9/5/2021,31234,7054933
9/4/2021,31337,7023699
9/3/2021,38006,6992362
9/2/2021,41579,6954356
9/1/2021,42805,6912777
8/31/2021,44475,6869972
8/30/2021,34149,6825497
8/29/2021,25676,6791348
8/28/2021,27161,6765672
8/27/2021,33159,6738511
8/26/2021,36955,6705352
8/25/2021,38058,6668397
8/24/2021,37006,6630339
8/23/2021,39022,6593333
8/22/2021,28287,6554311
8/21/2021,28082,6526024
8/20/2021,31664,6497942
8/19/2021,35808,6466278
8/18/2021,37996,6430470
8/17/2021,37152,6392474
8/16/2021,36179,6355322
8/15/2021,24908,6319143
8/14/2021,24633,6294235
8/13/2021,28436,6269602
8/12/2021,31115,6241166
8/11/2021,32728,6210051
8/10/2021,30917,6177323
8/9/2021,31523,6146406
8/8/2021,22407,6114883
8/7/2021,22106,6092476
8/6/2021,27531,6070370
8/5/2021,31072,6042839
8/4/2021,31714,6011767
8/3/2021,29809,5980053
8/2/2021,29257,5950244
8/1/2021,20513,5920987
7/31/2021,20156,5900474
7/30/2021,24267,5880318
7/29/2021,27869,5856051
7/28/2021,29630,5828182
7/27/2021,29013,5798552
7/26/2021,29361,5769539
7/25/2021,21759,5740178
7/24/2021,22457,5718419
7/23/2021,27246,5695962
7/22/2021,30717,5668716
7/21/2021,34910,5637999
7/20/2021,39060,5603089
7/19/2021,46880,5564029
7/18/2021,35499,5517149
7/17/2021,37842,5481650
7/16/2021,54206,5443808
7/15/2021,60745,5389602
7/14/2021,53806,5328857
7/13/2021,46714,5275051
7/12/2021,43636,5228337
7/11/2021,30016,5184701
7/10/2021,27867,5154685
7/9/2021,32216,5126818
7/8/2021,33344,5094602
7/7/2021,37807,5061258
7/6/2021,35364,5023451
7/5/2021,34183,4988087
7/4/2021,24674,4953904
7/3/2021,23562,4929230
7/2/2021,25778,4905668
7/1/2021,28108,4879890
6/30/2021,28320,4851782
6/29/2021,27593,4823462
6/28/2021,27747,4795869
6/27/2021,18130,4768122
6/26/2021,15969,4749992
6/25/2021,17772,4734023
6/24/2021,18299,4716251
6/23/2021,17906,4697952
6/22/2021,17004,4680046
6/21/2021,15956,4663042
6/20/2021,9875,4647086
6/19/2021,8257,4637211
6/18/2021,10056,4628954
6/17/2021,10771,4618898
6/16/2021,10774,4608127
6/15/2021,10501,4597353
6/14/2021,10106,4586852
6/13/2021,6954,4576746
6/12/2021,6118,4569792
6/11/2021,7441,4563674
6/10/2021,7835,4556233
6/9/2021,8003,4548398
6/8/2021,7675,4540395
6/7/2021,7741,4532720
6/6/2021,5405,4524979
6/5/2021,4621,4519574
6/4/2021,5704,4514953
6/3/2021,6099,4509249
6/2/2021,6047,4503150
6/1/2021,5234,4497103
5/31/2021,3781,4491869
5/30/2021,3096,4488088
5/29/2021,2934,4484992
5/28/2021,3491,4482058
5/27/2021,3635,4478567
5/26/2021,3799,4474932
5/25/2021,3304,4471133
