date,d_num,cum
9/20/2021,46451,44512572
9/19/2021,35131,44466121
9/18/2021,72467,44430990
9/17/2021,60447,44358523
9/16/2021,63999,44298076
9/15/2021,63704,44234077
9/14/2021,61627,44170373
9/13/2021,60653,44108746
9/12/2021,52615,44048093
9/11/2021,98059,43995478
9/10/2021,91811,43897419
9/9/2021,96702,43805608
9/8/2021,87960,43708906
9/7/2021,85848,43620946
9/6/2021,80015,43535098
9/5/2021,73193,43455083
9/4/2021,128553,43381890
9/3/2021,110590,43253337
9/2/2021,119375,43142747
9/1/2021,113385,43023372
8/31/2021,119402,42909987
8/30/2021,66648,42790585
8/29/2021,79440,42723937
8/28/2021,133688,42644497
8/27/2021,131456,42510809
8/26/2021,144936,42379353
8/25/2021,161705,42234417
8/24/2021,130676,42072712
8/23/2021,131283,41942036
8/22/2021,116352,41810753
8/21/2021,194881,41694401
8/20/2021,167392,41499520
8/19/2021,175059,41332128
8/18/2021,169223,41157069
8/17/2021,145875,40987846
8/16/2021,138390,40841971
8/15/2021,126383,40703581
8/14/2021,199584,40577198
8/13/2021,171585,40377614
8/12/2021,192559,40206029
8/11/2021,173761,40013470
8/10/2021,151143,39839709
8/9/2021,137028,39688566
8/8/2021,122070,39551538
8/7/2021,213583,39429468
8/6/2021,168356,39215885
8/5/2021,172692,39047529
8/4/2021,165669,38874837
8/3/2021,142761,38709168
8/2/2021,126192,38566407
8/1/2021,118044,38440215
7/31/2021,212014,38322171
7/30/2021,171096,38110157
7/29/2021,179918,37939061
7/28/2021,171173,37759143
7/27/2021,151650,37587970
7/26/2021,148936,37436320
7/25/2021,117956,37287384
7/24/2021,203886,37169428
7/23/2021,189341,36965542
7/22/2021,188297,36776201
7/21/2021,183338,36587904
7/20/2021,161279,36404566
7/19/2021,143560,36243287
7/18/2021,128878,36099727
7/17/2021,225214,35970849
7/16/2021,202314,35745635
7/15/2021,201893,35543321
7/14/2021,185661,35341428
7/13/2021,158276,35155767
7/12/2021,125360,34997491
7/11/2021,107620,34872131
7/10/2021,211446,34764511
7/9/2021,178819,34553065
7/8/2021,175467,34374246
7/7/2021,171477,34198779
7/6/2021,153126,34027302
7/5/2021,147814,33874176
7/4/2021,111410,33726362
7/3/2021,196209,33614952
7/2/2021,177478,33418743
7/1/2021,193066,33241265
6/30/2021,175749,33048199
6/29/2021,150688,32872450
6/28/2021,138016,32721762
6/27/2021,123555,32583746
6/26/2021,199505,32460191
6/25/2021,174770,32260686
6/24/2021,177813,32085916
6/23/2021,167988,31908103
6/22/2021,250875,31740115
6/21/2021,39325,31489240
6/20/2021,109408,31449915
6/19/2021,236363,31340507
6/18/2021,205677,31104144
6/17/2021,223260,30898467
6/16/2021,234834,30675207
6/15/2021,230666,30440373
6/14/2021,235928,30209707
6/13/2021,181121,29973779
6/12/2021,320326,29792658
6/11/2021,307192,29472332
6/10/2021,308038,29165140
6/9/2021,316258,28857102
6/8/2021,313482,28540844
6/7/2021,306068,28227362
6/6/2021,259941,27921294
6/5/2021,473378,27661353
6/4/2021,388031,27187975
6/3/2021,377641,26799944
6/2/2021,349019,26422303
6/1/2021,338565,26073284
5/31/2021,195546,25734719
5/30/2021,206322,25539173
5/29/2021,418848,25332851
5/28/2021,435951,24914003
5/27/2021,434096,24478052
5/26/2021,427458,24043956
5/25/2021,387987,23616498
5/24/2021,332955,23228511
5/23/2021,252139,22895556
5/22/2021,556951,22643417
5/21/2021,426683,22086466
5/20/2021,420312,21659783
5/19/2021,369018,21239471
5/18/2021,324001,20870453
5/17/2021,259049,20546452
5/16/2021,183745,20287403
5/15/2021,391246,20103658
5/14/2021,393402,19712412
5/13/2021,428041,19319010
5/12/2021,452437,18890969
5/11/2021,350147,18438532
5/10/2021,231835,18088385
5/9/2021,187171,17856550
5/8/2021,438837,17669379
5/7/2021,465822,17230542
5/6/2021,473001,16764720
5/5/2021,404226,16291719
5/4/2021,257486,15887493
5/3/2021,127499,15630007
5/2/2021,172891,15502508
5/1/2021,372304,15329617
4/30/2021,421785,14957313
4/29/2021,491567,14535528
4/28/2021,462885,14043961
4/27/2021,379265,13581076
4/26/2021,304688,13201811
4/25/2021,260801,12897123
4/24/2021,547636,12636322
4/23/2021,465015,12088686
4/22/2021,431070,11623671
4/21/2021,416784,11192601
4/20/2021,350027,10775817
4/19/2021,273751,10425790
4/18/2021,221193,10152039
4/17/2021,499635,9930846
4/16/2021,499664,9431211
4/15/2021,417683,8931547
4/14/2021,343783,8513864
4/13/2021,312685,8170081
4/12/2021,201191,7857396
4/11/2021,189665,7656205
4/10/2021,475230,7466540
4/9/2021,450136,6991310
4/8/2021,449269,6541174
4/7/2021,408396,6091905
4/6/2021,186793,5683509
4/5/2021,64590,5496716
4/4/2021,47708,5432126
4/3/2021,178913,5384418
4/2/2021,246631,5205505
4/1/2021,445416,4958874
3/31/2021,387574,4513458
3/30/2021,277682,4125884
3/29/2021,168230,3848202
3/28/2021,147594,3679972
3/27/2021,238861,3532378
3/26/2021,283654,3293517
3/25/2021,234382,3009863
3/24/2021,242642,2775481
3/23/2021,169155,2532839
3/22/2021,82300,2363684
3/21/2021,52612,2281384
3/20/2021,91977,2228772
3/19/2021,125725,2136795
3/18/2021,132016,2011070
3/17/2021,119609,1879054
3/16/2021,95799,1759445
3/15/2021,53366,1663646
3/14/2021,25371,1610280
3/13/2021,52155,1584909
3/12/2021,87676,1532754
3/11/2021,93563,1445078
3/10/2021,97162,1351515
3/9/2021,72922,1254353
3/8/2021,38788,1181431
3/7/2021,20241,1142643
3/6/2021,31562,1122402
3/5/2021,56772,1090840
3/4/2021,70206,1034068
3/3/2021,68450,963862
3/2/2021,51314,895412
3/1/2021,28282,844098
2/28/2021,19684,815816
2/27/2021,27322,796132
2/26/2021,32773,768810
2/25/2021,35319,736037
2/24/2021,31613,700718
2/23/2021,26317,669105
2/22/2021,18463,642788
2/21/2021,9177,624325
2/20/2021,10263,615148
2/19/2021,15294,604885
2/18/2021,15867,589591
2/17/2021,15147,573724
2/16/2021,12412,558577
2/15/2021,6535,546165
2/14/2021,1915,539630
2/13/2021,2846,537715
2/12/2021,4775,534869
2/11/2021,5647,530094
2/10/2021,4894,524447
2/9/2021,3161,519553
2/8/2021,3811,516392
2/7/2021,862,512581
2/6/2021,1662,511719
2/5/2021,4064,510057
2/4/2021,4036,505993
2/3/2021,2995,501957
2/2/2021,2166,498962
2/1/2021,2587,496796
1/31/2021,3156,494209
1/30/2021,10621,491053
1/29/2021,2178,480432
1/28/2021,1769,478254
1/27/2021,2329,476485
1/26/2021,1710,474156
1/25/2021,1968,472446
1/24/2021,818,470478
1/23/2021,1043,469660
1/22/2021,1821,468617
1/21/2021,2760,466796
1/20/2021,3411,464036
1/19/2021,3759,460625
1/18/2021,4565,456866
1/17/2021,2239,452301
1/16/2021,2620,450062
1/15/2021,4208,447442
1/14/2021,5257,443234
1/13/2021,9745,437977
1/12/2021,16065,428232
1/11/2021,20768,412167
1/10/2021,0,391399
